split,model,roc_auc,pr_auc,f1,precision,recall,specificity,brier,log_loss
test,RandomForest,0.64667258455402,0.22597821394042394,0.29057187017001546,0.2438391699092088,0.35946462715105165,0.8207532667179093,0.19661421285202255,0.5823668803024287
test,ExtraTrees,0.6454232881604531,0.2248870818550377,0.29441624365482233,0.20041465100207326,0.5544933078393881,0.6442736356648732,0.22331359776773912,0.6372671751991189
test,Validation_Stacked_Ensemble,0.6426045268898904,0.22261340601848306,0.28984485190409026,0.22960893854748604,0.39292543021032506,0.7880092236740969,0.1964894797802118,0.5809987592837189
test,Logistic_L2,0.6379907792652512,0.2223803663018658,0.2613282835114297,0.1521978887663463,0.9235181644359465,0.1727901614142967,0.39490539906857625,1.03459843167521
test,HistGradientBoosting,0.6327476437451409,0.2141300760503442,0.044444444444444446,0.31645569620253167,0.02390057361376673,0.9916986933128363,0.12404968986523136,0.4120183273493991
test,Torch_TabTransformer,0.6317232809590505,0.2060065803309256,0.2653840712972132,0.15573634401461067,0.8967495219885278,0.21829362029208302,0.3377124071121216,0.8849377485715092
test,MLP,0.6018891189745202,0.19145771788831883,0.19796380090497737,0.24238227146814403,0.16730401529636713,0.9159108378170638,0.14790996026210446,0.46671913513145397
test,Naive_train_prior,0.5,0.13852469871540193,0.0,0.0,0.0,1.0,0.12700366576514138,0.42675851908152523
val,RandomForest,0.6994278026530053,0.42268806246716295,0.40763506955677775,0.347682119205298,0.49257232212666147,0.7688245648347349,0.19956100956392916,0.5876450692655399
val,HistGradientBoosting,0.6849111564184993,0.41292906158943143,0.24951768488745982,0.7028985507246377,0.15168100078186084,0.9839624486602777,0.1460672548546016,0.46287001748219603
val,Torch_TabTransformer,0.6647093130741719,0.4118117271116136,0.3748478701825558,0.2530813475760066,0.7224394057857702,0.46665362800704085,0.2718977630138397,0.7467748058051404
val,ExtraTrees,0.6871441925386959,0.40471730215096546,0.39897435897435896,0.29683326974437235,0.6082877247849883,0.6395462546450225,0.21877104212107898,0.6269683661695501
val,Logistic_L2,0.6563055707239989,0.3786165227511641,0.36485981308411214,0.23974453451240482,0.763096168881939,0.3946802268726775,0.30236361589604305,0.821055587242868
val,MLP,0.656595499949767,0.36370663612589316,0.3220936084549572,0.4519774011299435,0.2501954652071931,0.9241150009778994,0.15903467762900514,0.49369972965661546
