model_calibration,bin,n,score_min,score_max,mean_predicted,observed_rate,abs_gap
Isotonic XGBoost,1,252975,0.0,0.05295768948686174,0.03871200185078388,0.0395849392232434,0.0008729373724595257
Isotonic XGBoost,2,252975,0.05295768948686174,0.0702578815459702,0.06298006497305764,0.06206937444411503,0.0009106905289426037
Isotonic XGBoost,3,252975,0.0702578815459702,0.08275772400006502,0.07759687876334756,0.07633165332542742,0.0012652254379201394
Isotonic XGBoost,4,252975,0.08275772400006502,0.09692635930259692,0.0914799265484891,0.08915505484731692,0.002324871701172182
Isotonic XGBoost,5,252975,0.09692635930259692,0.1098314920209798,0.10365008415499874,0.10094278090720427,0.0027073032477944736
Isotonic XGBoost,6,252975,0.1098314920209798,0.12259673100009234,0.11436795703733306,0.11325229765787133,0.0011156593794617309
Isotonic XGBoost,7,252975,0.12259673100009234,0.13660878006687524,0.12883525565290052,0.1263128767664789,0.0025223788864216223
Isotonic XGBoost,8,252975,0.13660878006687524,0.14684272722601863,0.14243970530395694,0.1388477122245281,0.00359199307942884
Isotonic XGBoost,9,252974,0.14684272722601863,0.16415617554777315,0.15455951351414193,0.1526322863219145,0.001927227192227432
Isotonic XGBoost,10,252974,0.16415617554777315,0.17864507179544864,0.17018077564757444,0.16819910346517825,0.001981672182396199
Isotonic XGBoost,11,252974,0.17864507179544864,0.19582587954680974,0.18647344076698996,0.1839714753294805,0.002501965437509468
Isotonic XGBoost,12,252974,0.19582587954680974,0.2119185233522886,0.20498174220362347,0.20315921794334596,0.0018225242602775138
Isotonic XGBoost,13,252974,0.2119185233522886,0.23395314243213092,0.2252301408823769,0.22101876082127017,0.004211380061106718
Isotonic XGBoost,14,252974,0.23395314243213092,0.2652248250577266,0.24872708987893014,0.24617549629606206,0.002551593582868078
Isotonic XGBoost,15,252974,0.2652248250577266,0.28800000000000003,0.27518475186900343,0.27427324547186666,0.0009115063971367743
Isotonic XGBoost,16,252974,0.28800000000000003,0.325801366263794,0.3065429129253765,0.3077984298781693,0.0012555169527928012
Isotonic XGBoost,17,252974,0.325801366263794,0.37494431079034124,0.349196308698793,0.3520361776309028,0.0028398689321098014
Isotonic XGBoost,18,252974,0.37494431079034124,0.4449537946590992,0.4056979804270797,0.4140346438764458,0.008336663449366066
Isotonic XGBoost,19,252974,0.4449537946590992,0.5624421052631582,0.49430568481551723,0.5046526520511989,0.010346967235681681
Isotonic XGBoost,20,252974,0.5624421052631582,1.0,0.7029085867396014,0.7137571450030438,0.010848558263442332
