group,mean_abs_shap,share
Dynamic airport congestion,0.49563048245939906,0.541174710928287
Schedule/time/calendar,0.17651383074487742,0.19273395141919825
Route/carrier/airport reliability,0.1741862743105448,0.19019251233282725
Post-pushback/outcome diagnostic,0.0534361647770725,0.05834649411160348
Network features,0.0089015163013373,0.009719489986361499
Weather,0.0070203977490755,0.007665512628692601
Distance/planned duration,0.0001532465387202,0.00016732859302990603
Capacity proxies,0.0,0.0
