subgroup,flights,delay_rate,pr_auc_uncalibrated,roc_auc_uncalibrated,ece_before,ece_after_platt,brier_before,brier_after_platt,mce_before,mce_after_platt
All test flights,5059488,0.22441005888342852,0.5001523091322376,0.7449717685808519,0.26282196678815595,0.0024192537886816023,0.22040478308826397,0.14660802072022316,0.3401213235609383,0.011661834284142913
Large hubs,2322590,0.2320478431406318,0.5043693848472603,0.7387192503869278,0.2680149848153456,0.002757702568906343,0.2268283353362857,0.150743504852759,0.34120655536891814,0.01682706628187136
Coastal/weather-sensitive airports,1520652,0.21474143985606176,0.4997791798829795,0.7524830153118081,0.25681460649568094,0.00408482899790881,0.21197486331769638,0.14080324313676798,0.34134169932696273,0.02018515063231674
Other airports,1216246,0.2219131655931448,0.4921363373254425,0.7464709030383244,0.2604160823730809,0.0028362843517088544,0.21867790887303123,0.14596835781522685,0.3386228383342145,0.009325381995932469
Major network/large carriers,3470562,0.23062086198143125,0.5112844288294388,0.74803096137084,0.2647324695089341,0.0033971576398429916,0.2233714821475238,0.14864016788217022,0.33908540531900166,0.01558344071239548
Weather flag present,699339,0.285000550519848,0.6107173364488397,0.7719326722173411,0.26186994557407434,0.004727789015750861,0.23443430485288505,0.16052750127186127,0.3355513573251979,0.015466017253947806
No weather flag,4138152,0.21468471916932969,0.46932018544448095,0.7357934471306792,0.26409416845414707,0.0022340182955242105,0.2191467612455821,0.14486861858745223,0.34191844260682175,0.010305720335972768
Unknown weather flag,221997,0.21482272282958778,0.5394410682440229,0.7713514647801898,0.24210646926030938,0.00780962981249389,0.19965897968997048,0.13518207714904099,0.3310767402412655,0.04464282532050501
