model_a,model_b,mean_abs_diff,p95_abs_diff,corr
Stacked_Ensemble,XGBoost,0.026642037954000063,0.05750968267445996,0.9945762952941688
Stacked_Ensemble,LightGBM,0.04961105531975887,0.12947361805092866,0.9542021300337152
Stacked_Ensemble,SGD_Logistic,0.4229482713704264,0.7740951355960156,0.3951966390359451
XGBoost,LightGBM,0.05486031849685925,0.14578802477648786,0.9349800491619757
XGBoost,SGD_Logistic,0.4436549555200391,0.7882884502410887,0.3863359411408634
LightGBM,SGD_Logistic,0.4427481308765946,0.77991867711223,0.38002462659129055
