,Stacked_Ensemble,XGBoost,LightGBM,SGD_Logistic
Stacked_Ensemble,1.0,0.9945762952941688,0.9542021300337152,0.3951966390359451
XGBoost,0.9945762952941688,1.0,0.9349800491619757,0.3863359411408634
LightGBM,0.9542021300337152,0.9349800491619757,1.0,0.38002462659129055
SGD_Logistic,0.3951966390359451,0.3863359411408634,0.38002462659129055,1.0
