model_calibration,roc_auc,pr_auc,brier,log_loss,ece_20_equal_frequency,mce_20_equal_frequency,calibration_slope,calibration_intercept
Uncalibrated XGBoost,0.7449717685808519,0.5001523091322376,0.22040478308826397,0.6339376747861518,0.26282196678815595,0.3401213235609383,1.0066497132154173,-1.4211297684502542
Platt-scaled XGBoost,0.7449717685808519,0.5001523091322376,0.14660802072022316,0.4584680010029779,0.0024192537886816023,0.011661834284142913,1.0250985615999426,0.029361851399251487
Isotonic XGBoost,0.7449574658364504,0.4981075084490951,0.14661624183845148,0.45848635213480915,0.0032423230785085535,0.010848558263442332,1.0254383027335832,0.0293559116411341
