model,metric,point,ci_low_95,ci_high_95,n_bootstrap,block_unit,bins
Uncalibrated XGBoost,Brier,0.22040478308826866,0.21685537196134802,0.22357383119389448,200,FlightDate,
Uncalibrated XGBoost,Log loss,0.6339376747861516,0.6261036780481035,0.6409398668970221,200,FlightDate,
Uncalibrated XGBoost,ECE20,0.262821966788156,0.26052359376719864,0.26491113536922933,200,FlightDate,20
Uncalibrated XGBoost,MCE20,0.3401248950043196,0.33726228720164547,0.34394588511926055,200,FlightDate,20
Platt-scaled XGBoost,Brier,0.14660800987893227,0.143735008041417,0.14906419032420715,200,FlightDate,
Platt-scaled XGBoost,Log loss,0.45846804013197223,0.45158711317502237,0.46420325307890087,200,FlightDate,
Platt-scaled XGBoost,ECE20,0.0024149211471475,0.0019546891081421874,0.0035262243149735716,200,FlightDate,20
Platt-scaled XGBoost,MCE20,0.011650003071826509,0.006802489314375634,0.015939016643053486,200,FlightDate,20
