model,split,roc_auc,pr_auc,f1,precision,recall,specificity,brier,log_loss
Stacked_Ensemble,test,0.7452380728925997,0.5002354349693255,0.48599740132946295,0.3783927555783038,0.6791210146203981,0.6772021932229858,0.20904806488432512,0.6065665339398706
XGBoost,test,0.7449717685808519,0.5001523091322376,0.4812958323939062,0.36336162487907453,0.7125709001233046,0.6387631979710955,0.22040478885173798,0.6339376747863522
LightGBM,test,0.7353375623092263,0.48848758627551686,0.47381886618623825,0.35709393208666035,0.7039087546239211,0.6333163272587159,0.2215193448338297,0.6349800930101259
SGD_Logistic,test,0.5639927220560333,0.2689970118746589,0.27515490231776146,0.44909241022818375,0.19833714990311785,0.929602496172359,0.23449760082986937,3.239448381782838
Naive_train_prior,test,0.5,0.22441005888342852,0.0,0.0,0.0,1.0,0.17560938930054298,0.5373497203772546
XGBoost,val,0.7407684241291259,0.4798736834638337,0.470101201970026,0.35788982423422916,0.6848156154651769,0.6641977164318634,0.21546439826488495,0.6231457329215109
LightGBM,val,0.7320009078066387,0.469300034930061,0.4622227776275846,0.3506132355259898,0.6780707916092649,0.6567583730128906,0.21639614936295348,0.623514444819268
SGD_Logistic,val,0.5581676666148194,0.25553877585833407,0.2521669867119293,0.44747337349286104,0.17554692789246035,0.9407580922361511,0.22348626408937344,3.0873466185973903
