model,threshold_from_validation,test_f1_tuned,test_precision_tuned,test_recall_tuned,test_specificity_tuned
XGBoost,0.5599999999999999,0.4899146407768884,0.4052002629573017,0.6194143033292232,0.7369172149044568
LightGBM,0.5599999999999999,0.48175409449497797,0.39692952550065247,0.6126862779637132,0.7306586906307911
SGD_Logistic,0.06,0.2751649479497581,0.44908271516311715,0.19834948035934472,0.9295953607564357
